flux,exposure
0.3984392427998637,0.05379838403443687
0.2015189599571766,0.14677992676220705
0.10015786665546503,0.4124626382901348
0.050685477101138854,1.3043213867190067
0.04726557229470813,1.467799267622069
0.04255867126544819,1.7012542798525891
0.04039540467661457,1.971840556512646
0.03833345813908051,2.1544346900318865
0.035124147616475615,2.424462017082331
0.03275790422557195,2.8100752424979207
0.030551069906914852,3.2570206556597863
0.027993307709375415,3.6652412370796297
0.025652573781275508,4.2482016981626165
0.023924411326419488,4.923882631706742
0.021923908853365467,5.707031326057168
0.020446939077657166,6.614740641230153
0.01906946979398912,7.666822074546222
0.01747295716399623,8.627747685955875
0.01601371418207707,10.29960365809991
0.014936585224547511,12.295426265956241
0.013928767945859129,13.836480680324609
0.012988951194195724,15.570684047537316
0.011904187138820117,18.587918911465653
0.011100975072147336,20.91764655756999
0.010353124642184613,24.244620170823307
0.00965565539603327,28.10075242497918
0.009005173254368712,32.57020655659786
0.00839662043242204,35.58623573050969
0.007969818375391591,41.246263829013564
0.007302578235391849,46.41588833612782
0.006810618183443204,53.79838403443692
0.006578321442874183,60.54123584037275
0.006134461891629542,68.12920690579615
0.005622146181175201,81.33105582266936
0.005242802711465109,91.52473108773901
0.004889605606121062,106.08183551394494
0.004640542988130622,119.3776641714437
0.004327431300577818,134.33993325989016
0.004107004244549733,151.1775070615663
0.003897365963921507,165.17667439704599
0.0036988452143080844,185.87918911465655
0.0035100410385961803,203.09176209047388
0.003273207789602369,228.5463864134993
0.003161565133935923,257.1913809059347
0.0029482446244768444,289.4266124716752
0.0027977541703296527,316.22776601683825
0.0025641014978100285,377.50532053243995
0.002391363121663548,437.5479375074189
0.002269553878214196,492.3882631706742
0.002080013519487989,587.8016072274918
0.0019396686191422048,661.474064123016
