

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J213306.3-281536|21 33 06.3|-28 15 36| 19.4326|-46.3972|           |                 |                 |       15.1|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J011637.0-281145|01 16 37.0|-28 11 45|225.2237|-84.3242|           |                 |                 |       17.2|                |                 |      -12.2|                |&gt;             |   0.700|             |            |                   |               |                     |                |           0.13|
|2WHSP J125408.1-280930|12 54 08.1|-28 09 30|303.6551| 34.7096|           |                 |                 |       15.4|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J124919.3-280834|12 49 19.3|-28 08 34|302.3643| 34.7266|           |                 |                 |       16.0|                |                 |      -11.9|                |              |        |             |            |3FGL J1249.1-2808  |           2.07|                 0.12|                |           0.25|
|2WHSP J050813.0-280741|05 08 13.0|-28 07 41|230.0500|-33.8237|           |                 |                 |       16.2|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J132527.4-280521|13 25 27.4|-28 05 21|312.0063| 34.1825|           |                 |                 |       15.5|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J154712.1-280221|15 47 12.1|-28 02 21|343.7877| 20.5654|           |                 |                 |       15.8|                |                 |      -12.1|                |&gt;             |   0.570|             |            |3FGL J1547.1-2801  |           1.71|                 0.16|                |           0.16|
|2WHSP J055411.0-275729|05 54 11.0|-27 57 29|233.2953|-24.0873|           |                 |&gt;                |       16.0|                |&gt;                |      -12.1|                |              |   0.230|             |            |                   |               |                     |                |           0.16|
|2WHSP J105750.6-275410|10 57 50.6|-27 54 10|274.3339| 28.5863|           |5BZB             |                 |       15.9|                |                 |      -11.6|                |              |   0.091|             |            |3FGL J1057.6-2754  |           1.89|                 0.18|                |           0.50|
|2WHSP J213103.1-274656|21 31 03.1|-27 46 56| 19.9838|-45.8608|           |5BZB             |                 |       16.1|                |                 |      -11.5|                |&gt;             |   0.380|             |            |3FGL J2130.8-2745  |           1.70|                 0.11|                |           0.63|
|2WHSP J011555.3-274430|01 15 55.3|-27 44 30|220.7792|-84.5335|           |                 |                 |       16.9|                |                 |      -11.8|                |              |        |             |            |3FGL J0116.2-2744  |           2.02|                 0.16|                |           0.32|
|2WHSP J151803.4-273131|15 18 03.4|-27 31 31|338.6709| 24.9890|           |                 |                 |       15.0|                |                 |      -11.4|                |              |        |             |            |3FGL J1518.0-2732  |           2.13|                 0.05|2FHL J1517.9-273|           0.79|
|2WHSP J145021.2-273051|14 50 21.2|-27 30 51|332.9138| 28.3455|           |                 |                 |       16.1|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J013523.5-272813|01 35 23.5|-27 28 13|217.4578|-80.2326|           |                 |                 |       17.0|                |                 |      -12.1|                |              |   0.248|             |            |                   |               |                     |                |           0.16|
|2WHSP J025756.1-271211|02 57 56.1|-27 12 11|220.4478|-61.9403|           |                 |                 |       15.8|:               |                 |      -13.0|:               |              |        |             |            |                   |               |                     |                |           0.02|
|2WHSP J112502.8-265402|11 25 02.8|-26 54 02|280.1284| 32.1173|           |                 |                 |       16.1|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J203844.8-263632|20 38 44.8|-26 36 32| 17.8751|-34.2875|           |5BZB             |                 |       16.2|                |                 |      -12.3|                |              |   0.440|             |            |                   |               |                     |                |           0.10|
|2WHSP J135132.8-263317|13 51 32.8|-26 33 17|319.2576| 34.4043|           |                 |                 |       15.3|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J043517.7-262121|04 35 17.7|-26 21 21|225.5640|-40.4503|           |                 |                 |       16.6|                |                 |      -11.9|                |              |        |             |            |Arsioli2016        |           2.52|                 0.31|                |           0.25|
|2WHSP J121323.0-261806|12 13 23.0|-26 18 06|292.4068| 35.7911|           |5BZB             |                 |       17.9|                |                 |      -11.2|                |              |   0.278|             |            |3FGL J1213.1-2619  |           1.89|                 0.20|                |           1.26|
|2WHSP J063841.4-261744|06 38 41.4|-26 17 44|235.4736|-14.2622|           |                 |                 |       15.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J052439.7-261554|05 24 39.7|-26 15 54|229.1706|-29.7887|           |                 |                 |       17.3|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J205253.8-261511|20 52 53.8|-26 15 11| 19.3500|-37.2420|           |                 |                 |       15.6|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J000513.6-261438|00 05 13.6|-26 14 38| 35.2109|-79.6437|           |                 |                 |       15.4|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J031614.8-260757|03 16 14.8|-26 07 57|219.5642|-57.7352|           |5BZB             |                 |       15.9|                |                 |      -11.4|                |              |   0.443|             |            |3FGL J0316.1-2611  |           1.86|                 0.09|                |           0.79|
|2WHSP J103137.7-260715|10 31 37.7|-26 07 15|267.6656| 27.0137|           |                 |&gt;                |       17.0|                |&gt;                |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J053645.2-255841|05 36 45.2|-25 58 41|229.8233|-27.1205|           |                 |                 |       15.5|                |                 |      -12.0|                |              |        |             |            |Arsioli2016        |           1.81|                 0.18|                |           0.20|
|2WHSP J142659.5-255832|14 26 59.5|-25 58 32|328.3922| 32.1291|           |                 |                 |       17.3|                |                 |      -11.9|                |&gt;             |   0.500|             |            |                   |               |                     |                |           0.25|
|2WHSP J021205.6-255757|02 12 05.6|-25 57 57|213.8265|-71.9439|           |                 |                 |       16.9|                |                 |      -12.2|                |              |        |             |            |Arsioli2016        |           1.93|                 0.16|                |           0.13|
|2WHSP J053626.8-254748|05 36 26.8|-25 47 48|229.6054|-27.1276|           |                 |                 |       15.8|                |                 |      -12.3|                |              |        |             |            |Arsioli2016        |           1.97|                 0.17|                |           0.10|
|2WHSP J005040.9-254122|00 50 40.9|-25 41 22|116.1774|-88.5513|           |                 |                 |       15.4|                |                 |      -12.2|                |              |   0.777|             |            |                   |               |                     |                |           0.13|
|2WHSP J094709.4-254059|09 47 09.4|-25 40 59|258.8769| 21.0284|           |                 |                 |       15.7|                |                 |      -11.4|                |              |        |             |            |3FGL J0947.1-2542  |           1.95|                 0.09|                |           0.79|
|2WHSP J215511.5-253754|21 55 11.5|-25 37 54| 24.8017|-50.7014|U          |                 |                 |       16.1|:               |                 |      -12.1|:               |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J104651.4-253544|10 46 51.4|-25 35 44|270.5824| 29.3381|           |5BZB             |&gt;                |       18.0|                |&gt;                |      -11.5|                |              |   0.250|             |            |3FGL J1046.9-2531  |           1.85|                 0.17|                |           0.32|
|2WHSP J121038.2-252712|12 10 38.2|-25 27 12|291.4571| 36.5076|           |                 |                 |       15.9|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J233339.4-252710|23 33 39.4|-25 27 10| 34.0284|-72.5033|           |                 |&gt;                |       17.0|                |&gt;                |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J160005.2-252438|16 00 05.2|-25 24 38|347.9494| 20.5436|           |                 |                 |       16.0|                |                 |      -12.0|                |              |        |             |            |3FGL J1559.8-2525  |           1.94|                 0.24|                |           0.20|
|2WHSP J142739.6-252103|14 27 39.6|-25 21 03|328.8700| 32.6292|           |                 |&gt;                |       16.0|                |                 |      -12.1|                |              |   0.318|             |            |                   |               |                     |                |           0.32|
|2WHSP J151428.0-252053|15 14 28.0|-25 20 53|339.3649| 27.2245|           |                 |                 |       16.0|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J060714.2-251859|06 07 14.2|-25 18 59|231.7053|-20.4377|           |5BZB             |                 |       17.5|                |                 |      -12.0|                |              |   0.275|             |            |Arsioli2016        |           1.93|                 0.16|                |           0.20|
|2WHSP J091222.9-251824|09 12 22.9|-25 18 24|252.8716| 15.6215|           |                 |                 |       16.1|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J023231.0-251605|02 32 31.0|-25 16 05|213.9705|-67.2880|           |                 |                 |       16.5|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J213151.4-251557|21 31 51.4|-25 15 57| 23.5549|-45.4873|           |5BZB             |                 |       16.9|                |                 |      -11.5|                |&gt;             |   0.860|             |g           |3FGL J2131.8-2516  |           2.01|                 0.14|                |           0.50|
|2WHSP J050939.7-251403|05 09 39.7|-25 14 03|226.8361|-32.7021|           |5BZB             |                 |       17.0|                |                 |      -12.2|                |              |   0.264|             |            |                   |               |                     |                |           0.13|
|2WHSP J144436.9-250930|14 44 36.9|-25 09 30|332.9767| 31.0287|           |                 |                 |       16.2|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J140609.5-250808|14 06 09.5|-25 08 08|323.5888| 34.7212|           |                 |                 |       15.0|                |                 |      -12.0|                |              |        |             |            |3FGL J1406.0-2508  |           1.89|                 0.11|2FHL J1406.2-250|           0.20|
|2WHSP J044018.6-245932|04 40 18.6|-24 59 32|224.2303|-39.0065|           |5BZB             |                 |       17.1|                |                 |      -11.9|                |              |   0.600|:            |            |3FGL J0440.3-2500  |           1.72|                 0.21|2FHL J0440.3-245|           0.25|
|2WHSP J215006.7-245723|21 50 06.7|-24 57 23| 25.4322|-49.4323|           |                 |                 |       15.1|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J005446.6-245528|00 54 46.6|-24 55 28|141.9119|-87.6721|           |5BZB             |                 |       15.9|                |                 |      -11.2|                |&gt;             |   0.120|             |f           |3FGL J0054.8-2455  |           1.78|                 0.07|2FHL J0054.8-245|           1.26|
|2WHSP J160307.9-244949|16 03 07.9|-24 49 49|348.9085| 20.4742|           |                 |                 |       16.8|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J201002.8-244736|20 10 02.8|-24 47 36| 17.6251|-27.5769|           |                 |                 |       15.4|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J020355.9-244453|02 03 55.9|-24 44 53|208.6834|-73.5443|           |                 |                 |       16.6|:               |                 |      -12.7|:               |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J033812.4-244350|03 38 12.4|-24 43 50|218.8910|-52.5976|           |5BZB             |                 |       17.1|:               |                 |      -12.3|:               |              |   0.251|             |            |3FGL J0338.1-2443  |           1.29|                 0.25|                |           0.10|
|2WHSP J011746.9-244332|01 17 46.9|-24 43 32|192.3168|-83.6094|           |5BZB             |                 |       16.6|                |                 |      -12.1|                |              |   0.279|             |            |                   |               |                     |                |           0.16|
|2WHSP J002258.9-244022|00 22 58.9|-24 40 22| 52.3418|-83.1471|           |                 |                 |       15.7|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J235023.2-243602|23 50 23.2|-24 36 02| 39.9532|-76.0449|           |5BZB             |&gt;                |       16.0|                |&gt;                |      -12.1|                |              |   0.190|             |            |                   |               |                     |                |           0.16|
|2WHSP J152559.4-242813|15 25 59.4|-24 28 13|342.2931| 26.3500|           |                 |                 |       15.2|:               |                 |      -12.1|:               |              |   0.097|             |            |                   |               |                     |                |           0.16|
|2WHSP J195755.0-241950|19 57 55.0|-24 19 50| 17.0850|-24.8226|           |                 |                 |       15.6|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J193412.7-241919|19 34 12.7|-24 19 19| 15.0180|-19.7725|           |                 |                 |       16.4|                |                 |      -11.5|                |              |        |             |            |Arsioli2016        |           1.59|                 0.14|                |           0.63|
|2WHSP J004929.8-241843|00 49 29.8|-24 18 43|114.0009|-87.1500|           |                 |                 |       16.4|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J233352.3-241659|23 33 52.3|-24 16 59| 37.8532|-72.3160|           |                 |                 |       17.3|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J030326.3-240710|03 03 26.3|-24 07 10|214.6203|-60.1780|           |5BZB             |                 |       15.7|                |                 |      -10.7|                |              |   0.266|             |            |3FGL J0303.4-2407  |           1.92|                 0.02|2FHL J0303.3-240|           3.98|
|2WHSP J063059.5-240646|06 30 59.5|-24 06 46|232.6877|-14.9906|           |5BZB             |                 |       15.1|                |                 |      -11.1|                |              |        |             |            |3FGL J0630.9-2406  |           1.81|                 0.03|2FHL J0631.0-240|           1.58|
|2WHSP J131248.7-235047|13 12 48.7|-23 50 47|309.2033| 38.7649|           |                 |                 |       15.3|                |                 |      -11.9|                |              |        |             |            |3FGL J1312.7-2349  |           1.80|                 0.12|                |           0.25|
|2WHSP J050643.0-234418|05 06 43.0|-23 44 18|224.8988|-32.8881|           |                 |                 |       15.8|                |                 |      -12.4|                |&gt;             |   0.600|             |            |                   |               |                     |                |           0.08|
|2WHSP J000835.2-233926|00 08 35.2|-23 39 26| 50.3033|-79.7233|           |5BZB             |                 |       17.0|                |                 |      -11.7|                |              |   0.147|             |            |3FGL J0008.6-2340  |           1.60|                 0.17|                |           0.40|
|2WHSP J053737.3-233700|05 37 37.3|-23 37 00|227.4023|-26.1549|           |                 |                 |       15.1|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J084701.4-233700|08 47 01.4|-23 37 00|247.7757| 12.2028|           |5BZU             |                 |       16.5|                |                 |      -11.7|                |              |   0.061|:            |            |3FGL J0846.9-2336  |           2.03|                 0.06|2FHL J0846.8-233|           0.40|
|2WHSP J233016.0-233641|23 30 16.0|-23 36 41| 39.2900|-71.3522|           |                 |                 |       15.3|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J003120.5-233400|00 31 20.5|-23 34 00| 69.9446|-84.2306|           |                 |                 |       16.1|                |                 |      -12.1|                |&gt;             |   0.430|             |            |                   |               |                     |                |           0.16|
|2WHSP J110337.6-232930|11 03 37.6|-23 29 30|273.1895| 33.0796|           |5BZB             |                 |       17.3|                |                 |      -10.6|                |              |   0.186|             |            |3FGL J1103.5-2329  |           1.64|                 0.14|2FHL J1104.0-233|           5.01|
|2WHSP J233653.6-232626|23 36 53.6|-23 26 26| 41.1575|-72.7685|           |                 |                 |       17.3|:               |                 |      -12.5|:               |              |   0.120|:            |            |                   |               |                     |                |           0.06|
|2WHSP J045107.5-232532|04 51 07.5|-23 25 32|223.2200|-36.1969|           |                 |                 |       16.7|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J140108.6-232235|14 01 08.6|-23 22 35|323.0007| 36.7640|           |                 |                 |       15.4|                |                 |      -11.8|                |&gt;             |   0.340|             |            |                   |               |                     |                |           0.32|
|2WHSP J004040.7-232200|00 40 40.7|-23 22 00| 89.4541|-85.5206|           |                 |                 |       16.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J012338.2-231058|01 23 38.2|-23 10 58|186.2549|-81.7172|           |5BZB             |                 |       17.3|                |                 |      -11.1|                |              |   0.404|             |            |3FGL J0123.7-2312  |           1.99|                 0.10|2FHL J0123.7-230|           1.58|
|2WHSP J003736.1-230225|00 37 36.1|-23 02 25| 84.7190|-84.8504|           |                 |                 |       17.6|:               |                 |      -12.5|:               |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J020121.7-225925|02 01 21.7|-22 59 25|202.1276|-73.6491|           |                 |                 |       16.1|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J092057.4-225720|09 20 57.4|-22 57 20|252.3780| 18.6434|           |                 |&gt;                |       17.5|                |&gt;                |      -11.6|                |&gt;             |   0.450|             |            |3FGL J0921.0-2258  |           1.55|                 0.26|                |           0.50|
|2WHSP J151212.7-225508|15 12 12.7|-22 55 08|340.5121| 29.4931|           |                 |                 |       15.5|                |                 |      -11.8|                |              |        |             |            |3FGL J1512.2-2255  |           1.91|                 0.11|                |           0.32|
|2WHSP J154849.6-225102|15 48 49.6|-22 51 02|347.8452| 24.1688|           |5BZB             |                 |       16.2|                |                 |      -11.2|                |              |   0.192|             |            |3FGL J1548.8-2250  |           2.05|                 0.07|2FHL J1548.7-224|           1.26|
|2WHSP J115633.1-225003|11 56 33.1|-22 50 03|286.7554| 38.3074|           |                 |                 |       15.5|                |                 |      -12.1|                |              |        |             |            |3FGL J1156.7-2250  |           1.89|                 0.16|                |           0.16|
|2WHSP J024751.6-225002|02 47 51.6|-22 50 02|210.1462|-63.3313|           |                 |                 |       17.0|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J031615.1-224723|03 16 15.1|-22 47 23|213.5124|-57.0046|           |                 |                 |       16.9|:               |                 |      -12.5|:               |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J130931.0-224432|13 09 31.0|-22 44 32|308.3709| 39.9385|           |                 |                 |       16.1|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J165517.8-224045|16 55 17.8|-22 40 45|358.7753| 12.8701|           |                 |                 |       17.0|:               |                 |      -11.8|:               |              |        |             |            |Arsioli2016        |           1.89|                 0.20|                |           0.32|
|2WHSP J011724.2-222759|01 17 24.2|-22 27 59|175.9853|-82.4886|           |                 |                 |       17.0|                |                 |      -12.2|                |              |   0.116|             |            |                   |               |                     |                |           0.13|
|2WHSP J031235.6-222116|03 12 35.6|-22 21 16|212.3173|-57.7025|           |                 |                 |       17.3|                |                 |      -11.9|                |              |        |             |            |3FGL J0312.7-2222  |           1.62|                 0.15|                |           0.25|
|2WHSP J003908.2-222000|00 39 08.2|-22 20 00| 92.0519|-84.4515|           |                 |                 |       16.7|                |                 |      -11.9|                |              |   0.064|             |            |3FGL J0039.0-2218  |           1.72|                 0.19|                |           0.25|
|2WHSP J230846.8-221947|23 08 46.8|-22 19 47| 38.9225|-66.2452|           |5BZG             |                 |       16.8|                |                 |      -12.1|                |              |   0.137|             |            |                   |               |                     |                |           0.16|
|2WHSP J031633.7-221611|03 16 33.7|-22 16 11|212.6300|-56.7965|           |5BZB             |                 |       16.7|                |                 |      -12.1|                |              |   0.228|             |            |                   |               |                     |                |           0.16|
|2WHSP J054656.6-220456|05 46 56.6|-22 04 56|226.6459|-23.6063|           |5BZB             |                 |       15.8|:               |                 |      -12.3|:               |              |   0.280|             |            |                   |               |                     |                |           0.10|
|2WHSP J091926.2-220042|09 19 26.2|-22 00 42|251.3853| 19.0057|           |                 |                 |       16.9|                |                 |      -12.5|                |              |        |             |            |3FGL J0919.5-2200  |           2.20|                 0.25|                |           0.06|
|2WHSP J150654.7-215925|15 06 54.7|-21 59 25|339.9890| 30.9620|           |                 |                 |       15.4|                |                 |      -12.0|                |              |   0.130|:            |            |                   |               |                     |                |           0.20|
|2WHSP J015721.4-215851|01 57 21.4|-21 58 51|197.5539|-74.1677|           |                 |                 |       17.1|                |                 |      -12.1|                |&gt;             |   0.700|             |            |                   |               |                     |                |           0.16|
|2WHSP J023605.5-215542|02 36 05.5|-21 55 42|206.3368|-65.6847|           |                 |                 |       15.2|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J013803.7-215530|01 38 03.7|-21 55 30|189.3105|-78.1962|           |                 |&gt;                |       17.5|                |&gt;                |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J194455.0-214318|19 44 55.0|-21 43 18| 18.5693|-21.0965|           |                 |                 |       16.0|:               |                 |      -11.5|:               |&gt;             |   0.410|             |            |                   |               |                     |2FHL J1944.9-214|           0.63|
|2WHSP J022211.3-213735|02 22 11.3|-21 37 35|202.9543|-68.6502|           |                 |                 |       15.2|                |                 |      -12.7|                |              |        |             |            |                   |               |                     |                |           0.04|
|2WHSP J020430.0-213724|02 04 30.0|-21 37 24|198.5756|-72.4970|           |                 |                 |       15.2|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J033612.7-213127|03 36 12.7|-21 31 27|213.6179|-52.2137|           |                 |&gt;                |       17.0|                |&gt;                |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J025018.8-212939|02 50 18.8|-21 29 39|207.6837|-62.4056|           |5BZB             |                 |       17.0|                |                 |      -12.1|                |              |   0.498|             |            |                   |               |                     |                |           0.16|
|2WHSP J090858.6-211854|09 08 58.6|-21 18 54|249.1669| 17.6071|           |                 |                 |       15.7|                |                 |      -12.0|                |              |        |             |            |2FGL J0908.7-2119  |           2.37|                 0.16|                |           0.20|
|2WHSP J114747.8-211640|11 47 47.8|-21 16 40|283.6845| 39.2036|           |                 |                 |       17.3|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J154827.3-211105|15 48 27.3|-21 11 05|349.0328| 25.4418|           |                 |                 |       16.5|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J091300.1-210320|09 13 00.1|-21 03 20|249.5896| 18.4938|           |5BZB             |                 |       16.8|                |                 |      -11.0|                |              |   0.198|             |            |3FGL J0912.9-2104  |           1.94|                 0.08|2FHL J0913.1-205|           2.00|
|2WHSP J101436.6-210141|10 14 36.6|-21 01 41|260.6634| 28.6906|           |                 |                 |       16.2|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J112508.5-210105|11 25 08.5|-21 01 05|277.2893| 37.5193|           |                 |                 |       15.5|                |                 |      -11.6|                |              |        |             |            |3FGL J1125.0-2101  |           1.78|                 0.14|                |           0.50|
|2WHSP J213852.6-205347|21 38 52.6|-20 53 47| 30.2024|-45.8463|           |5BZB             |                 |       17.0|                |                 |      -11.7|                |              |   0.290|             |            |2FGL J2139.1-2054  |           1.39|                 0.27|                |           0.40|
|2WHSP J030718.6-205157|03 07 18.6|-20 51 57|208.9468|-58.4426|           |                 |                 |       16.4|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J003322.3-203907|00 33 22.3|-20 39 07| 89.4647|-82.3211|           |                 |                 |       17.9|                |                 |      -11.9|                |              |   0.073|             |            |                   |               |                     |                |           0.25|
|2WHSP J112611.8-203723|11 26 11.8|-20 37 23|277.3679| 37.9808|           |                 |                 |       17.2|                |                 |      -12.1|                |              |        |             |            |Arsioli2016        |           2.16|                 0.24|                |           0.16|
|2WHSP J091522.4-203624|09 15 22.4|-20 36 24|249.6052| 19.2068|           |                 |                 |       15.7|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J103040.3-203036|10 30 40.3|-20 30 36|263.6900| 31.4300|           |                 |                 |       15.6|                |                 |      -12.4|                |              |        |             |            |3FGL J1030.4-2030  |           1.89|                 0.10|                |           0.08|
|2WHSP J171405.3-202751|17 14 05.3|-20 27 51|  3.2162| 10.6147|           |                 |                 |       17.5|:               |                 |      -11.2|:               |              |        |             |            |3FGL J1714.1-2029  |           1.34|                 0.17|2FHL J1713.9-202|           1.26|
|2WHSP J223248.7-202226|22 32 48.7|-20 22 26| 37.4124|-57.6754|           |                 |                 |       17.9|                |                 |      -11.7|                |              |        |             |            |3FGL J2232.9-2021  |           2.08|                 0.14|                |           0.40|
|2WHSP J013548.7-201346|01 35 48.7|-20 13 46|181.0903|-77.7297|           |                 |                 |       15.4|                |                 |      -11.9|                |              |   0.370|             |            |                   |               |                     |                |           0.25|
|2WHSP J063014.9-201236|06 30 14.9|-20 12 36|228.9324|-13.5701|           |                 |                 |       16.4|                |                 |      -11.8|                |              |        |             |            |Arsioli2016        |           1.84|                 0.27|2FHL J0630.2-201|           0.32|
|2WHSP J165655.0-201055|16 56 55.0|-20 10 55|  1.0657| 14.0604|           |                 |                 |       16.2|                |                 |      -11.6|                |&gt;             |   0.460|             |            |3FGL J1656.8-2010  |           1.96|                 0.08|                |           0.50|
|2WHSP J010250.8-200158|01 02 50.8|-20 01 58|143.7435|-82.4393|           |                 |                 |       16.3|                |                 |      -12.1|                |&gt;             |   0.380|             |            |Arsioli2016        |           1.55|                 0.22|                |           0.16|
|2WHSP J214410.0-195559|21 44 10.0|-19 55 59| 32.0902|-46.7194|           |                 |                 |       17.9|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J103655.9-195423|10 36 55.9|-19 54 23|264.6621| 32.7877|           |                 |                 |       16.7|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J084345.7-194807|08 43 45.7|-19 48 07|244.1680| 13.8681|           |                 |                 |       15.5|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J212839.9-194152|21 28 39.9|-19 41 52| 30.7286|-43.1952|           |                 |&gt;                |       17.0|                |&gt;                |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J054449.1-193813|05 44 49.1|-19 38 13|223.9690|-23.1711|           |                 |                 |       15.5|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J030246.3-192424|03 02 46.3|-19 24 24|205.6161|-58.9631|           |                 |                 |       15.5|                |                 |      -11.6|                |              |        |             |            |                   |               |                     |                |           0.50|
|2WHSP J003334.3-192132|00 33 34.3|-19 21 32| 94.1735|-81.2157|           |5BZB             |                 |       15.7|                |                 |      -11.0|                |&gt;             |   0.506|             |b           |3FGL J0033.6-1921  |           1.71|                 0.03|2FHL J0033.6-192|           2.00|
|2WHSP J191744.8-192130|19 17 44.8|-19 21 30| 18.2406|-14.3193|           |5BZB             |                 |       15.0|                |                 |      -11.1|                |              |   0.137|             |            |3FGL J1917.7-1921  |           1.87|                 0.04|2FHL J1917.7-192|           1.58|
|2WHSP J105928.9-191220|10 59 28.9|-19 12 20|269.5666| 36.3100|           |                 |                 |       15.3|                |                 |      -11.8|                |              |   0.222|             |            |                   |               |                     |                |           0.32|
|2WHSP J084018.7-191027|08 40 18.7|-19 10 27|243.1545| 13.5751|           |                 |                 |       15.3|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J161327.1-190835|16 13 27.1|-19 08 35|355.1137| 22.6580|           |                 |                 |       15.8|                |                 |      -11.7|                |              |        |             |            |Arsioli2016        |           2.23|                 0.16|                |           0.40|
|2WHSP J011314.2-190807|01 13 14.2|-19 08 07|156.1335|-80.5693|           |                 |                 |       15.0|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J022539.7-190034|02 25 39.7|-19 00 34|197.3595|-66.9055|           |                 |                 |       17.8|                |                 |      -12.9|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J083713.3-185940|08 37 13.3|-18 59 40|242.5702| 13.0832|           |                 |                 |       15.5|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J203856.7-185916|20 38 56.7|-18 59 16| 26.5290|-31.9250|           |                 |                 |       16.2|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
